Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit,Over?,Under?,Prop Bets
B.Hall o25.5 Rec Yds,charliedisturco,New York Jets,b.hall,Buffalo Bills,1.0,0.6,1,0.3333333333333333,0,0.6,1,52,14,56,1,Clear,MetLife,outdoors,turf,-110.0,0.55,1.05,0.5,1.0,0.0,Rec_Yds
A.Lazard o35.5 Rec Yds,shadybiev,New York Jets,a.lazard,Buffalo Bills,1.0,0.6,1,0.6666666666666666,1,0.6,1,52,14,56,1,Clear,MetLife,outdoors,turf,-112.0,2.24,4.24,2.0,1.0,0.0,Rec_Yds
D.Knox u8.5 Rec Yds,cowhitchurch,Buffalo Bills,d.knox,New York Jets,0.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,52,14,56,1,Clear,MetLife,outdoors,turf,-110.0,0.55,1.05,0.5,0.0,1.0,Rec_Yds
D.Kincaid u41.5 Rec Yds,TopShelfAction,Buffalo Bills,d.kincaid,New York Jets,0.0,0.8,1,0.6666666666666666,1,0.8,1,51,17,54,2,Clear,MetLife,outdoors,turf,-110.0,1.0,1.9090909090909087,0.9090909090909092,0.0,1.0,Rec_Yds
B.Hall o24.5 Receiving Yards,JBBets1,New York Jets,b.hall,Buffalo Bills,1.0,0.6,1,0.3333333333333333,0,0.6,1,51,17,54,2,Clear,MetLife,outdoors,turf,-130.0,1.0,1.7692307692307692,0.7692307692307692,1.0,0.0,Rec_Yds
K.Shakir o30.5 receiving yards,Rotowire Sleeper,Buffalo Bills,k.shakir,New York Jets,0.0,1.0,1,1.0,1,1.0,1,51,17,54,2,Clear,MetLife,outdoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
D.Knox u8.5 Rec Yds,nick_giffen,Buffalo Bills,d.knox,New York Jets,0.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,51,17,54,2,Clear,MetLife,outdoors,turf,100.0,0.5,1.0,0.5,0.0,1.0,Rec_Yds
K.Shakir o32.5 receiving yards,Rotowire Prizepicks,Buffalo Bills,k.shakir,New York Jets,0.0,1.0,1,1.0,1,1.0,1,51,17,54,2,Clear,MetLife,outdoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
K.Shakir o32.5 receiving yards,Rotowire Sleeper,Buffalo Bills,k.shakir,New York Jets,0.0,1.0,1,1.0,1,1.0,1,56,17,54,2,Partly Cloudy,MetLife,outdoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
C.Samuel o10.5 receiving yards,Rotowire Prizepicks,Buffalo Bills,c.samuel,New York Jets,0.0,0.4,0,0.3333333333333333,0,0.4,0,56,17,54,2,Partly Cloudy,MetLife,outdoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
