Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit,Over?,Under?,Prop Bets
D.Smith o46.5 receiving yards,Rotowire Sleeper,Philadelphia Eagles,d.smith,Cincinnati Bengals,0.0,0.8,1,0.6666666666666666,1,0.8,1,56,5,43,2,Clear,Paycor,outdoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
A.Brown o72.5 receiving yards,Rotowire Prizepicks,Philadelphia Eagles,a.brown,Cincinnati Bengals,0.0,1.0,1,1.0,1,1.0,1,56,5,43,2,Clear,Paycor,outdoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
G.Calcaterra u21.5 Rec Yds,MoneylineHacks,Philadelphia Eagles,g.calcaterra,Cincinnati Bengals,0.0,0.6,1,0.3333333333333333,0,0.6,1,56,5,43,2,Clear,Paycor,outdoors,turf,-114.0,1.0,1.8771929824561404,0.8771929824561404,0.0,1.0,Rec_Yds
D.Smith o50.5 receiving yards,Rotowire Prizepicks,Philadelphia Eagles,d.smith,Cincinnati Bengals,0.0,0.8,1,0.6666666666666666,1,0.8,1,56,5,43,2,Clear,Paycor,outdoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
D.Smith o51.5 receiving yards,Rotowire Sleeper,Philadelphia Eagles,d.smith,Cincinnati Bengals,0.0,0.8,1,0.6666666666666666,1,0.8,1,56,5,43,2,Clear,Paycor,outdoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
T.Franklin o28.5 Rec Yds,PropBetGuy,Denver Broncos,t.franklin,Carolina Panthers,1.0,0.3333333333333333,0,0.6666666666666666,1,0.4,0,75,5,15,1,Rain,Empower Field at Mile High,outdoors,grass,-115.0,1.15,2.1499999999999995,0.9999999999999996,1.0,0.0,Rec_Yds
S.Diggs o63.5 Rec Yds,RoyalsProps,Houston Texans,s.diggs,Indianapolis Colts,1.0,0.5714285714285714,1,0.6666666666666666,1,0.8,1,82,3,53,1,Rain,NRG,indoors,turf,-115.0,1.15,2.1499999999999995,0.9999999999999996,1.0,0.0,Rec_Yds
D.Smith o52.5 Rec Yds,RoyalsProps,Philadelphia Eagles,d.smith,Cincinnati Bengals,0.0,0.8,1,0.6666666666666666,1,0.8,1,56,5,43,2,Clear,Paycor,outdoors,turf,-115.0,1.15,2.1499999999999995,0.9999999999999996,1.0,0.0,Rec_Yds
J.Jeudy o40.5 receiving yards,Rotowire Sleeper,Cleveland Browns,j.jeudy,Baltimore Ravens,1.0,0.2857142857142857,0,0.0,0,0.2,0,56,7,49,0,Clear,Cleveland Browns,outdoors,grass,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
S.LaPorta o32.5 Rec Yds,kylemurray03,Detroit Lions,s.laporta,Tennessee Titans,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6,1,54,7,43,0,Rain,Ford Field,indoors,turf,-114.0,1.14,2.14,0.9999999999999998,1.0,0.0,Rec_Yds
C.Watson o26.5 Rec Yds,sandyplashkes,Green Bay Packers,c.watson,Jacksonville Jaguars,0.0,0.4,0,0.3333333333333333,0,0.4,0,81,6,56,3,Rain,TIAA Bank,outdoors,grass,-116.0,1.16,2.16,0.9999999999999998,1.0,0.0,Rec_Yds
C.Watson o26.5 Rec Yds,RoyalsProps,Green Bay Packers,c.watson,Jacksonville Jaguars,0.0,0.4,0,0.3333333333333333,0,0.4,0,81,6,56,3,Rain,TIAA Bank,outdoors,grass,-120.0,1.2,2.2,1.0000000000000002,1.0,0.0,Rec_Yds
C.Kirk o40.5 receiving yards,Rotowire Prizepicks,Jacksonville Jaguars,c.kirk,Green Bay Packers,1.0,0.4285714285714285,0,0.3333333333333333,0,0.6,1,81,6,56,3,Rain,TIAA Bank,outdoors,grass,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
A.Brown o75.5 Rec Yds,gneiffer07,Philadelphia Eagles,a.brown,Cincinnati Bengals,0.0,1.0,1,1.0,1,1.0,1,57,5,42,0,Clear,Paycor,outdoors,turf,-110.0,1.1,2.1,1.0,1.0,0.0,Rec_Yds
J.Chase o75.5 Rec Yds,charliedisturco,Cincinnati Bengals,j.chase,Philadelphia Eagles,1.0,0.4285714285714285,0,0.3333333333333333,0,0.6,1,56,5,44,0,Clear,Paycor,outdoors,turf,-110.0,1.1,2.1,1.0,1.0,0.0,Rec_Yds
A.Brown o75.5 receiving yards,Rotowire Prizepicks,Philadelphia Eagles,a.brown,Cincinnati Bengals,0.0,1.0,1,1.0,1,1.0,1,56,5,44,0,Clear,Paycor,outdoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
J.Chase o75.5 Rec Yds,GreenDotDaily,Cincinnati Bengals,j.chase,Philadelphia Eagles,1.0,0.4285714285714285,0,0.3333333333333333,0,0.6,1,56,5,44,0,Clear,Paycor,outdoors,turf,-115.0,1.0,1.869565217391304,0.8695652173913042,1.0,0.0,Rec_Yds
C.Olave o47.5 receiving yards,Rotowire Prizepicks,New Orleans Saints,c.olave,Los Angeles Chargers,0.0,0.5,0,0.3333333333333333,0,0.6,1,70,6,69,2,Mostly Cloudy,SoFi,indoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
A.Brown o77.5 receiving yards,Quinn Allen,Philadelphia Eagles,a.brown,Cincinnati Bengals,0.0,1.0,1,1.0,1,1.0,1,57,5,43,0,Clear,Paycor,outdoors,turf,100.0,0.75,1.5,0.75,1.0,0.0,Rec_Yds
R.Dowdle o10.5 receiving yards,Rotowire Prizepicks,Dallas Cowboys,r.dowdle,San Francisco 49ers,0.0,0.8333333333333334,1,1.0,1,1.0,1,65,14,89,12,Partly Cloudy,Levi's,outdoors,grass,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
D.Mooney o46.5 Rec Yds,charliedisturco,Atlanta Falcons,d.mooney,Tampa Bay Buccaneers,0.0,0.5714285714285714,1,0.3333333333333333,0,0.6,1,82,7,50,0,Mostly Cloudy,Raymond James,outdoors,grass,-115.0,1.15,2.1499999999999995,0.9999999999999996,1.0,0.0,Rec_Yds
D.Schultz o29.5 receiving yards,Rotowire Sleeper,Houston Texans,d.schultz,Indianapolis Colts,1.0,0.2857142857142857,0,0.3333333333333333,0,0.4,0,85,3,46,0,Foggy,NRG,indoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
S.LaPorta o32.5 Rec Yds,Markus_Markets,Detroit Lions,s.laporta,Tennessee Titans,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6,1,54,7,43,0,Clear,Ford Field,indoors,turf,-113.0,1.0,1.8849557522123888,0.8849557522123894,1.0,0.0,Rec_Yds
R.Dowdle o11.5 Rec Yds,KyleJustBets,Dallas Cowboys,r.dowdle,San Francisco 49ers,0.0,0.8333333333333334,1,1.0,1,1.0,1,64,13,89,16,Rain,Levi's,outdoors,grass,-110.0,1.0,1.9090909090909087,0.9090909090909092,1.0,0.0,Rec_Yds
J.Ferguson o39.5 receiving yards,Rotowire Prizepicks,Dallas Cowboys,j.ferguson,San Francisco 49ers,0.0,0.6,1,0.6666666666666666,1,0.6,1,64,13,89,16,Rain,Levi's,outdoors,grass,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
J.McMillan u42.5 Rec Yds,chrisgimino_,Tampa Bay Buccaneers,j.mcmillan,Atlanta Falcons,1.0,1.0,1,1.0,1,1.0,1,82,7,52,0,Mostly Cloudy,Raymond James,outdoors,grass,-113.0,1.0,1.8849557522123888,0.8849557522123894,0.0,1.0,Rec_Yds
S.Diggs o59.5 Rec Yds,chrisgimino_,Houston Texans,s.diggs,Indianapolis Colts,1.0,0.5714285714285714,1,0.6666666666666666,1,0.8,1,85,3,46,0,Foggy,NRG,indoors,turf,-110.0,1.0,1.9090909090909087,0.9090909090909092,1.0,0.0,Rec_Yds
R.Bateman o37.5 Rec Yds,FirefighterBets,Baltimore Ravens,r.bateman,Cleveland Browns,0.0,0.7142857142857143,1,1.0,1,0.6,1,55,14,49,1,Clear,Cleveland Browns,outdoors,grass,-115.0,1.0,1.869565217391304,0.8695652173913042,1.0,0.0,Rec_Yds
K.Pitts o42.5 Rec Yds,FirefighterBets,Atlanta Falcons,k.pitts,Tampa Bay Buccaneers,0.0,0.5714285714285714,1,1.0,1,0.8,1,83,7,52,0,Mostly Cloudy,Raymond James,outdoors,grass,-115.0,1.0,1.869565217391304,0.8695652173913042,1.0,0.0,Rec_Yds
S.Diggs o59.5 Rec Yds,FirefighterBets,Houston Texans,s.diggs,Indianapolis Colts,1.0,0.5714285714285714,1,0.6666666666666666,1,0.8,1,84,3,53,0,Foggy,NRG,indoors,turf,-115.0,1.0,1.869565217391304,0.8695652173913042,1.0,0.0,Rec_Yds
D.Smith o55.5 Rec Yds,Mjaybrxd,Philadelphia Eagles,d.smith,Cincinnati Bengals,0.0,0.8,1,0.6666666666666666,1,0.8,1,59,3,39,0,Clear,Paycor,outdoors,turf,-110.0,1.0,1.9090909090909087,0.9090909090909092,1.0,0.0,Rec_Yds
R.Doubs o49.5 Rec Yds,FirefighterBets,Green Bay Packers,r.doubs,Jacksonville Jaguars,0.0,0.5,0,0.3333333333333333,0,0.4,0,82,5,55,1,Clear,TIAA Bank,outdoors,grass,-117.0,1.0,1.8547008547008548,0.8547008547008548,1.0,0.0,Rec_Yds
T.Kraft o34.5 Rec Yds,therocketplays,Green Bay Packers,t.kraft,Jacksonville Jaguars,0.0,0.4285714285714285,0,0.3333333333333333,0,0.4,0,82,5,55,1,Clear,TIAA Bank,outdoors,grass,-115.0,1.15,2.1499999999999995,0.9999999999999996,1.0,0.0,Rec_Yds
W.Dissly u27.5 Rec Yds,chrisgimino_,Los Angeles Chargers,w.dissly,New Orleans Saints,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6,1,76,3,68,0,Clear,SoFi,indoors,turf,-110.0,1.0,1.9090909090909087,0.9090909090909092,0.0,1.0,Rec_Yds
B.Allen o4.5 receiving yards,Rotowire Prizepicks_duplicate,New York Jets,b.allen,New England Patriots,0.0,0.7142857142857143,1,0.3333333333333333,0,0.6,1,51,10,32,0,Clear,Gillette,outdoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
J.Reed o57.5 Rec Yds,Proptology,Green Bay Packers,j.reed,Jacksonville Jaguars,0.0,0.4285714285714285,0,0.3333333333333333,0,0.4,0,82,5,55,1,Clear,TIAA Bank,outdoors,grass,-113.0,2.5,4.712389380530974,2.212389380530974,1.0,0.0,Rec_Yds
J.Sanders u24.5 Rec Yds,nick_giffen,Carolina Panthers,j.sanders,Denver Broncos,0.0,0.7142857142857143,1,0.3333333333333333,0,0.6,1,76,5,13,1,Mostly Cloudy,Empower Field at Mile High,outdoors,grass,-110.0,1.1,2.1,1.0,0.0,1.0,Rec_Yds
D.Wicks o25.5 receiving yards,Rotowire Sleeper,Green Bay Packers,d.wicks,Jacksonville Jaguars,0.0,0.4285714285714285,0,0.3333333333333333,0,0.4,0,82,5,55,1,Clear,TIAA Bank,outdoors,grass,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
C.Lamb o74.5 Rec Yds,Markus_Markets,Dallas Cowboys,c.lamb,San Francisco 49ers,0.0,0.5,0,0.6666666666666666,1,0.6,1,65,13,85,5,Rain,Levi's,outdoors,grass,-110.0,1.0,1.9090909090909087,0.9090909090909092,1.0,0.0,Rec_Yds
I.Likely o19.5 receiving yards,Rotowire Prizepicks,Baltimore Ravens,i.likely,Cleveland Browns,0.0,0.5714285714285714,1,0.3333333333333333,0,0.4,0,55,7,49,1,Clear,Cleveland Browns,outdoors,grass,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
J.Sanders u24.5 Rec Yds,convince_me,Carolina Panthers,j.sanders,Denver Broncos,0.0,0.7142857142857143,1,0.3333333333333333,0,0.6,1,76,5,13,1,Mostly Cloudy,Empower Field at Mile High,outdoors,grass,-115.0,1.0,1.869565217391304,0.8695652173913042,0.0,1.0,Rec_Yds
B.Bowers o61.5 Rec Yds,convince_me,Las Vegas Raiders,b.bowers,Kansas City Chiefs,1.0,0.5714285714285714,1,1.0,1,0.6,1,84,6,11,2,Mostly Cloudy,Allegiant,indoors,grass,-120.0,1.0,1.8333333333333333,0.8333333333333335,1.0,0.0,Rec_Yds
M.Gesicki o18.5 Rec Yds,PropBetGuy,Cincinnati Bengals,m.gesicki,Philadelphia Eagles,1.0,0.5,0,0.3333333333333333,0,0.6,1,52,6,39,0,Clear,Paycor,outdoors,turf,-110.0,1.1,2.1,1.0,1.0,0.0,Rec_Yds
B.Robinson o20.5 Rec Yds,Markus_Markets_duplicate,Atlanta Falcons,b.robinson,Tampa Bay Buccaneers,0.0,0.7142857142857143,1,0.3333333333333333,0,0.6,1,79,3,52,0,Clear,FedExField,outdoors,grass,-120.0,1.0,1.8333333333333333,0.8333333333333335,1.0,0.0,Rec_Yds
D.Smith o54.5 Rec Yds,JBBets1,Philadelphia Eagles,d.smith,Cincinnati Bengals,0.0,0.8,1,0.6666666666666666,1,0.8,1,56,5,39,0,Clear,Paycor,outdoors,turf,-113.0,1.0,1.8849557522123888,0.8849557522123894,1.0,0.0,Rec_Yds
D.Achane u32.5 Rec Yds,ChrisRaybon,Miami Dolphins,d.achane,Arizona Cardinals,1.0,0.6666666666666666,1,1.0,1,0.8,1,83,14,56,13,Partly Cloudy,Hard Rock,outdoors,grass,-110.0,1.0,1.9090909090909087,0.9090909090909092,0.0,1.0,Rec_Yds
C.Olave o47.5 receiving yards,Rotowire Sleeper,New Orleans Saints,c.olave,Los Angeles Chargers,0.0,0.5,0,0.3333333333333333,0,0.6,1,76,3,68,0,Clear,SoFi,indoors,turf,100.0,1.5,3.0,1.5,1.0,0.0,Rec_Yds
W.Dissly o25.5 Rec Yds,FirefighterBets,Los Angeles Chargers,w.dissly,New Orleans Saints,1.0,0.5,0,0.6666666666666666,1,0.6,1,71,3,68,0,Clear,SoFi,indoors,turf,-110.0,1.0,1.9090909090909087,0.9090909090909092,1.0,0.0,Rec_Yds
